Code,상장폐지일,상장폐지사유
A025610,20120725.0,"기업의 계속성, 경영의 투명성 및 기타 공익과 투자자 보호 등을 종합적으로 고려하여 상장폐지 기준에 해당한다고 결정"
A025620,,
A025750,,
A025820,,
A025830,20070425.0,"감사의견 부적정, 자본전액잠식"
A025840,20020123.0,감사의견거절 2사업년도 계속
A025850,20160315.0,해산 사유 발생
A025860,,
A025890,,
A025930,20070425.0,자본전액잠식
A026870,20121115.0,신청에 의한 상장폐지
A026890,,
A026940,,
A026960,,
A027390,,
A027410,,
A027460,20011109.0,(주)국민은행과의 합병으로 신설은행 설립에 따른 해산
A027740,,
A027840,20100714.0,광전자(주)에 피흡수 합병으로 해산
A027970,,
A028050,,
A028100,,
A028260,,
A028440,19910712.0,감사인의 감사의견거절 9년 계속
A028450,19910902.0,한양투자금융㈜에 피흡수합병(보람은행으로 업종전환)
