Code,Name,결산월,WICS업종코드(대),WICS업종명(중),WICS업종명(소)
A036690,코맥스,12.0,G45,기술하드웨어와장비,통신장비
A036710,심텍홀딩스,12.0,G45,기술하드웨어와장비,전자장비와기기
A036720,한빛네트,12.0,,,
A036760,KNS홀딩스,12.0,,,
A036790,자강,12.0,,,
A036800,나이스정보통신,12.0,G50,통신서비스,다각화된통신서비스
A036810,에프에스티,12.0,G45,반도체와반도체장비,반도체와반도체장비
A036820,비이티,12.0,,,
A036830,솔브레인,12.0,G45,반도체와반도체장비,반도체와반도체장비
A036840,휴코드,12.0,,,
A036850,나리지*온,12.0,,,
A036880,맥시스템,12.0,,,
A036890,진성티이씨,12.0,G20,자본재,기계
A036900,택산아이엔씨,12.0,,,
A036910,세원텔레콤,12.0,,,
A036920,지앤에스티,12.0,,,
A036930,주성엔지니어링,12.0,G45,반도체와반도체장비,반도체와반도체장비
A037010,넷컴스토리지,12.0,,,
A037020,한와이어리스,12.0,,,
A037030,파워넷,12.0,G45,전자와 전기제품,전기제품
A037060,시큐어소프트,12.0,,,
A037070,파세코,12.0,G25,내구소비재와의류,가정용기기와용품
A037110,JS,12.0,,,
A037120,한신코퍼레이션,6.0,,,
A037150,CJ인터넷,12.0,,,
A037200,다산씨앤드아이,6.0,,,
A037220,넥스텔,12.0,,,
A037230,한국팩키지,12.0,G15,소재,포장재
A037240,평안물산,12.0,,,
A037250,대흥멀티미디어통신,12.0,,,
A037280,시스컴,12.0,,,
A037320,시노펙스그린테크,12.0,,,
A037330,인지디스플레,12.0,G45,디스플레이,디스플레이장비및부품
